date,day_name,weekend,temperature,humidity,total_equipments,residents,OP_unit_kwh,PK_unit_kwh,NL_unit_kwh,OP_hrs,PK_hrs,NL_hrs,total_hours_used,daily_unit_kwh,monthly_OP_unit_kwh,monthly_PK_unit_kwh,monthly_NL_unit_kwh,monthly_unit_kwh(Aggregate),monthly_bill(Aggregate),OP_light_1_wh,OP_fan_1_wh,OP_light_2_wh,OP_fan_2_wh,OP_light_3_wh,OP_fan_3_wh,OP_light_4_wh,OP_fan_4_wh,OP_light_5_wh,OP_fridge_wh,OP_tv_wh,OP_ac_wh,OP_washing-machine_wh,OP_water-pump_wh,OP_induction-stove_wh,OP_mixi_wh,OP_iron-box_wh,PK_light_1_wh,PK_fan_1_wh,PK_light_2_wh,PK_fan_2_wh,PK_light_3_wh,PK_fan_3_wh,PK_light_4_wh,PK_fan_4_wh,PK_light_5_wh,PK_fridge_wh,PK_tv_wh,PK_ac_wh,PK_washing-machine_wh,PK_water-pump_wh,PK_induction-stove_wh,PK_mixi_wh,PK_iron-box_wh,NL_light_1_wh,NL_fan_1_wh,NL_light_2_wh,NL_fan_2_wh,NL_light_3_wh,NL_fan_3_wh,NL_light_4_wh,NL_fan_4_wh,NL_light_5_wh,NL_fridge_wh,NL_tv_wh,NL_ac_wh,NL_washing-machine_wh,NL_water-pump_wh,NL_induction-stove_wh,NL_mixi_wh,NL_iron-box_wh
01-01-2020,Wednesday,0,28.06,73.97,17,6,5.41,2.53,2.41,29.8,19.36,27.95,77.11,10.35,5.41,2.53,2.41,10.35,154.36,37.400000000000006,285.0,73.2,179.4,15.600000000000001,46.800000000000004,5.8,259.8,0,1058.0,424.8,0.0,3.2,970.0,1660.0,210.0,180.0,14.6,73.2,42.0,103.8,23.2,147.0,11.200000000000001,70.19999999999999,88.2,565.8,376.8,240.0,41.6,300.0,40.0,300.0,90.0,0,31.200000000000003,0,455.4,0,463.8,0,0,468.59999999999997,989.0,0,0.0,0,0,0,0,0
02-01-2020,Thursday,0,28.24,74.29,17,6,3.88,3.63,1.92,25.73,30.62,20.11,76.46000000000001,9.43,9.29,6.16,4.33,19.78,190.21,23.0,72.6,68.4,183.0,83.4,52.2,39.2,54.6,0,1094.8,255.6,0.0,33.6,570.0,60.0,840.0,450.0,31.6,222.6,58.2,78.60000000000001,45.599999999999994,124.80000000000001,76.8,202.79999999999998,179.4,584.2,282.0,1164.0,48.0,140.0,300.0,80.0,10.0,0,203.4,0,189.60000000000002,0,141.0,0,0,420.59999999999997,966.0,0,0.0,0,0,0,0,0
03-01-2020,Friday,0,28.53,72.52,17,6,5.16,3.91,2.34,38.21,22.5,25.770000000000003,86.48,11.41,14.45,10.07,6.67,31.19,233.6,71.2,237.0,60.599999999999994,277.8,65.19999999999999,274.20000000000005,85.0,135.0,0,942.9999999999999,222.0,0.0,107.2,670.0,1180.0,270.0,560.0,30.6,233.4,68.0,173.4,18.799999999999997,61.2,3.2,170.39999999999998,26.4,561.1999999999999,97.2,1080.0,38.4,280.0,700.0,70.0,300.0,0,259.20000000000005,0,97.2,0,452.4,0,0,456.0,1078.7,0,0.0,0,0,0,0,0
04-01-2020,Saturday,1,28.2,78.22,17,6,5.75,2.91,2.17,56.52,18.71,23.68,98.91,10.83,20.2,12.98,8.84,42.02,274.78,117.6,337.2,106.0,306.6,109.2,313.2,108.4,352.8,0,1223.6000000000001,614.4,0.0,57.599999999999994,910.0,540.0,650.0,0.0,28.2,73.2,13.200000000000001,128.4,38.8,166.2,21.6,58.8,40.2,510.6,267.6,480.0,4.8,130.0,240.0,350.0,360.0,0,70.8,0,478.8,0,127.8,0,0,478.8,1014.3000000000001,0,0.0,0,0,0,0,0
05-01-2020,Sunday,1,28.17,76.73,17,6,6.73,3.39,2.15,57.15,26.31,23.81,107.27,12.270000000000001,26.93,16.37,10.99,54.29,365.45,100.60000000000001,321.0,112.6,340.79999999999995,110.60000000000001,327.0,111.0,335.4,0,1168.4,644.4,0.0,38.4,800.0,940.0,980.0,400.0,65.4,191.4,12.0,121.79999999999998,55.599999999999994,205.8,26.0,52.8,170.39999999999998,646.3000000000001,166.79999999999998,120.0,75.19999999999999,200.0,520.0,420.0,340.0,0,352.8,0,100.19999999999999,0,259.8,0,0,462.0,972.9000000000001,0,0.0,0,0,0,0,0
06-01-2020,Monday,0,28.71,68.8,17,6,6.25,2.86,2.36,35.95,31.2,26.5,93.65,11.469999999999999,33.18,19.23,13.35,65.76,419.81,17.4,294.6,51.6,78.0,99.60000000000001,289.8,55.8,264.6,0,963.7,166.79999999999998,0.0,112.0,850.0,1720.0,400.0,890.0,68.0,224.4,62.800000000000004,160.8,46.4,89.4,75.19999999999999,233.4,68.39999999999999,531.3000000000001,232.79999999999998,540.0,80.0,90.0,20.0,250.0,90.0,0,175.8,0,357.0,0,346.2,0,0,438.59999999999997,1044.2,0,0.0,0,0,0,0,0
07-01-2020,Tuesday,0,28.49,67.0,17,6,4.79,3.63,2.19,34.35,28.349999999999998,24.89,87.59,10.61,37.97,22.86,15.54,76.37,470.08,50.8,190.8,25.0,177.0,97.8,145.8,90.60000000000001,130.2,0,1000.4999999999999,387.6,0.0,107.2,860.0,460.0,500.0,570.0,61.4,10.200000000000001,79.6,112.8,22.400000000000002,211.79999999999998,59.800000000000004,228.6,79.2,586.5,274.8,1176.0,6.4,150.0,200.0,130.0,240.0,0,178.8,0,189.60000000000002,0,405.0,0,0,475.79999999999995,936.1,0,0.0,0,0,0,0,0
08-01-2020,Wednesday,0,28.34,68.45,17,6,3.68,3.63,1.97,24.61,18.369999999999997,19.2,62.17999999999999,9.280000000000001,41.65,26.49,17.509999999999998,85.65,514.05,20.8,201.6,35.8,76.2,29.6,96.60000000000001,84.80000000000001,40.800000000000004,0,1083.3,331.2,0.0,48.0,420.0,520.0,610.0,80.0,0.4,150.6,15.600000000000001,16.8,31.8,12.0,71.0,6.6,139.2,561.1999999999999,322.8,396.0,12.8,490.0,840.0,430.0,130.0,0,18.6,0,145.8,0,258.0,0,0,439.8,1110.9,0,0.0,0,0,0,0,0
09-01-2020,Thursday,0,28.28,69.13,17,6,4.53,3.72,1.8,31.21,18.39,17.64,67.24000000000001,10.05,46.18,30.209999999999997,19.31,95.7,561.68,27.200000000000003,289.8,45.8,252.6,19.4,123.60000000000001,70.0,41.4,0,949.9,582.0,0.0,113.6,40.0,800.0,430.0,740.0,20.0,44.4,6.4,102.6,55.0,13.8,73.2,106.2,57.599999999999994,480.7,87.6,1116.0,51.2,260.0,660.0,220.0,370.0,0,22.8,0,271.8,0,76.2,0,0,427.2,998.1999999999999,0,0.0,0,0,0,0,0
10-01-2020,Friday,0,28.61,62.46,17,6,5.19,4.56,2.21,25.68,32.18,24.9,82.75999999999999,11.96,51.37,34.769999999999996,21.52,107.66,657.76,9.200000000000001,28.2,31.200000000000003,294.0,17.6,5.3999999999999995,76.39999999999999,241.8,0,1000.4999999999999,278.4,0.0,104.0,50.0,1900.0,890.0,260.0,1.2,223.8,40.0,129.60000000000002,54.800000000000004,147.6,75.6,226.79999999999998,208.20000000000002,607.2,384.0,816.0000000000001,46.4,60.0,820.0,410.0,310.0,0,393.59999999999997,0,312.6,0,99.0,0,0,436.2,968.3,0,0.0,0,0,0,0,0
